State,Hospital Type,Emergency Services
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,Acute Care Hospitals,Yes
NC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
NC,Critical Access Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,No
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,Acute Care Hospitals,Yes
SC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
SC,ACUTE CARE - VETERANS ADMINISTRATION,Yes
SC,Critical Access Hospitals,Yes
SC,Critical Access Hospitals,Yes
SC,Critical Access Hospitals,Yes
SC,Critical Access Hospitals,Yes
SC,Critical Access Hospitals,Yes
